epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6004,0,230.458,0,0,0,0,0,0,205.096,0,0.00015003,0.00015003,0.00015003
2,188.543,0,60.7843,0,0,0,0,0,0,263.491,0,0.000310459,0.000310459,0.000310459
3,280.825,0,31.1444,0,0,0,0,0,0,483.75,0,0.000464286,0.000464286,0.000464286
4,372.926,0,16.3498,0,0,0,0,0,0,8806.81,0,0.000611512,0.000611512,0.000611512
5,463.857,0,9.49962,0,0,0,0,0,0,49.4346,0,0.000752137,0.000752137,0.000752137
6,555.27,0,5.20126,0,0,0,0,0,0,4.36846,0,0.000886161,0.000886161,0.000886161
7,646.129,0,3.36904,0,0,0,0,0,0,0.89938,0,0.00101358,0.00101358,0.00101358
8,736.297,0,1.75161,0,0,0,0,0,0,345.147,0,0.0011344,0.0011344,0.0011344
9,826.161,0,0.90436,0,0,0,0,0,0,0.02549,0,0.00124862,0.00124862,0.00124862
10,916.408,0,0.50381,0,0,0,0,0,0,17.889,0,0.00135624,0.00135624,0.00135624
11,1005.7,0,0.23003,0,0,0,0,0,0,0.00316,0,0.00133693,0.00133693,0.00133693
12,1096.89,0,0.12496,0,0,0,0,0,0,644.775,0,0.00130393,0.00130393,0.00130393
13,1188.03,0,0.06907,0,0,0,0,0,0,0.01746,0,0.00127092,0.00127092,0.00127092
14,1277.69,0,0.03849,0,0,0,0,0,0,0.00428,0,0.00123791,0.00123791,0.00123791
15,1367.56,0,0.01418,0,0,0,0,0,0,0.00243,0,0.00120491,0.00120491,0.00120491
16,1461.18,0,0.00692,0,0,0,0,0,0,0.00105,0,0.0011719,0.0011719,0.0011719
17,1552.6,0,0.00359,0,0,0,0,0,0,0.00044,0,0.00113889,0.00113889,0.00113889
18,1643.96,0,0.00163,0,0,0,0,0,0,0.00036,0,0.00110589,0.00110589,0.00110589
19,1734.07,0,0.00055,0,0,0,0,0,0,0.00026,0,0.00107288,0.00107288,0.00107288
20,1823.44,0,8e-05,0,0,0,0,0,0,0.00015,0,0.00103987,0.00103987,0.00103987
21,1919.18,0,0,0,0,0,0,0,0,4e-05,0,0.00100687,0.00100687,0.00100687
22,2022.18,0,1e-05,0,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
23,2112.78,0,0,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,2202.15,0,0,0,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
25,2292.45,0,0,0,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,2387.86,0,0,0,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,2479.81,0,0,0,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
28,2570.48,0,0,0,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
29,2659.32,0,0,0,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
30,2749.56,0,0,0,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
31,2841.38,0,0,0,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
32,2932.58,0,0,0,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
33,3025.44,0,0,0,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
34,3116.9,0,0,0,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
35,3208.7,0,0,0,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
36,3299.12,0,0,0,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
37,3389.35,0,0,0,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
38,3482.36,0,0,0,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,3575.19,0,0,0,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,3666.71,0,0,0,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
41,3759.23,0,0,0,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
42,3850.67,0,0,0,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
43,3940.8,0,0,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
44,4032.67,0,0,0,0,0,0,0,0,0,0,0.000247716,0.000247716,0.000247716
45,4123.74,0,0,0,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
46,4215.53,0,0,0,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
47,4307.76,0,0,0,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
48,4403.4,0,0,0,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
49,4496.06,0,0,0,0,0,0,0,0,0,0,8.26832e-05,8.26832e-05,8.26832e-05
50,4590.66,0,0,0,0,0,0,0,0,0,0,4.96766e-05,4.96766e-05,4.96766e-05
