epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5466,1.30651,3.49623,0.95117,0,0,0,0,0,865.663,0,8e-05,8e-05,8e-05
2,91.8235,1.20915,1.46072,0.95739,0,0,0,0,0,1109.46,0,0.000176436,0.000176436,0.000176436
3,138.851,1.18126,1.00011,0.94247,0,0,0,0,0,911.539,0,0.000268912,0.000268912,0.000268912
4,186.17,1.16789,0.83042,0.93427,0,0,0,0,0,609.669,0,0.000357428,0.000357428,0.000357428
5,233.122,1.27878,0.84701,0.99892,0,0,0,0,0,566.356,0,0.000441984,0.000441984,0.000441984
6,280.198,1.14814,0.86502,0.9417,0,0,0,0,0,755.197,0,0.00052258,0.00052258,0.00052258
